Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-May-2012,326.15,332.55,315.1,320.1,324.5894835,199668,4247,64810133,43712,21.89,17.45,-6.05
10-May-2012,321,328.45,320,326.45,326.2307029,592238,6186,193206219,291784,49.27,8.45,5.45
11-May-2012,324.15,334.95,320.85,329.4,328.0228442,220888,4625,72456310,39023,17.67,14.1,5.25
14-May-2012,329,333.65,315,318.1,323.4557055,322015,4816,104157589,129966,40.36,18.65,-10.9
15-May-2012,317.05,321,311.5,317.35,315.0096462,471479,6036,148520433,121734,25.82,9.5,0.3
16-May-2012,314.45,314.45,299.2,304.85,304.1197447,673842,9916,204928657,283631,42.09,15.25,-9.6
17-May-2012,305.25,314.2,301.65,303.05,306.5180453,494617,7678,151609036,155234,31.38,12.55,-2.2
18-May-2012,297,314.5,294.25,311.85,304.4273205,442305,7766,134649726,60763,13.74,20.25,14.85
21-May-2012,315,323.1,314.55,321.35,319.2774285,276309,4920,88219227,40960,14.82,8.55,6.35
22-May-2012,324,327.8,319.05,321.75,322.5687902,462995,4793,149347737,227956,49.24,8.75,-2.25
23-May-2012,319.3,322.9,315.2,319.7,319.1027971,192914,4342,61559397,14399,7.46,7.7,0.4
24-May-2012,321.85,328.8,320,327.85,326.0382545,218118,4122,71114812,45075,20.67,8.8,6
25-May-2012,328.5,331.8,325.5,330.6,330.1716382,459181,6075,151608543,197900,43.1,6.3,2.1
28-May-2012,331.05,339.8,331,338,334.751769,167042,3204,55917605,37363,22.37,8.8,6.95
29-May-2012,340,340.7,335.8,338.1,338.1910702,134516,2526,45492110,26650,19.81,4.9,-1.9
30-May-2012,336.8,337.15,326.5,327.8,331.1104557,117649,2345,38954814,22291,18.95,10.65,-9
31-May-2012,323.95,335,321.4,330.1,327.0582989,145423,3146,47561799,29577,20.34,13.6,6.15
1-June-2012,327.25,334.6,320.15,322.7,328.5768363,158662,3527,52132658,22412,14.13,14.45,-4.55
4-June-2012,319.85,322.7,310.7,320.9,316.7747584,251117,4390,79547527,45119,17.97,12,1.05
5-June-2012,324.45,328.25,319.2,322.35,324.7951885,185639,3866,60294654,40439,21.78,9.05,-2.1
6-June-2012,325,333.45,325,330.75,330.4334599,162451,3078,53679246,37303,22.96,8.45,5.75
7-June-2012,335.2,340.35,329.85,338.2,335.9234105,192533,3825,64676342,39142,20.33,10.5,3
8-June-2012,338.5,346.7,333.05,344.5,340.2112345,254395,4952,86548037,59580,23.42,13.65,6
11-June-2012,346.5,353,339.85,342,348.2795115,170798,3570,59485444,40756,23.86,13.15,-4.5
12-June-2012,340.1,349.85,339.45,348.3,345.6007537,179924,3989,62181870,37114,20.63,10.4,8.2
13-June-2012,350.05,350.9,344.55,346.1,348.500759,129116,2754,44997024,20955,16.23,6.35,-3.95
14-June-2012,343.25,344.95,330.6,331.8,336.7834226,257206,4485,86622717,87066,33.85,14.35,-11.45
15-June-2012,332.85,336.25,330.9,334.3,334.0504682,182828,3049,61073779,57414,31.4,5.35,1.45
18-June-2012,338.7,341.65,321.5,324.9,329.4980493,273491,5246,90114751,63986,23.4,20.15,-13.8
19-June-2012,324.45,326.4,318.35,322.95,322.1253473,313114,4795,100861956,98581,31.48,8.05,-1.5
20-June-2012,324.4,334.5,323.9,332.05,330.7123055,247589,4752,81880729,76047,30.72,10.6,7.65
21-June-2012,330.65,343.35,329,342.3,337.0325995,250832,4742,84538561,55157,21.99,14.35,11.65
22-June-2012,338.05,343,335.8,340.9,340.1405764,151327,2915,51472453,20825,13.76,7.2,2.85
25-June-2012,342,349.6,337.55,339.2,344.2949186,186682,3498,64273664,63626,34.08,12.05,-2.8
26-June-2012,342,343.7,338.25,341.25,340.8639128,200129,3306,68216754,61033,30.5,5.45,-0.75
27-June-2012,344,344.7,333.2,334.65,337.5339124,182367,4047,61555047,60743,33.31,11.5,-9.35
28-June-2012,329.7,334,326.35,332.2,329.3882787,785047,11569,258585280,125095,15.93,7.65,2.5
29-June-2012,335,340.4,334.5,339.15,338.499939,213034,3959,72111996,69022,32.4,5.9,4.15
2-July-2012,340.75,344.8,339.1,343.45,342.7743135,226150,3825,77518411,76638,33.89,5.7,2.7
3-July-2012,346,353.5,343.25,350.7,349.7265763,322441,5596,112766187,130191,40.38,10.25,4.7
4-July-2012,351.8,353.8,347.6,349.4,350.3809814,149149,2574,52258973,37254,24.98,6.2,-2.4
5-July-2012,347.2,358.5,345,357.2,353.015014,310376,5839,109567388,97809,31.51,13.5,10
6-July-2012,358,362.9,352.2,360.5,357.8038864,359817,6074,128743921,72187,20.06,10.7,2.5
9-July-2012,358.95,364.4,355.8,359.05,359.9099038,223794,4622,80545677,46907,20.96,8.6,0.1
10-July-2012,360.3,363.6,358.1,359.85,361.2565306,225630,3336,81510311,98817,43.8,5.5,-0.45
11-July-2012,358.65,362.25,352.4,353.3,356.4851342,220473,3305,78595347,78549,35.63,9.85,-5.35
12-July-2012,353.3,354.9,349,353.4,352.7742257,159283,3277,56190937,27079,17,5.9,0.1
13-July-2012,355,356.4,347.5,348.8,352.6965184,134710,3734,47511748,45051,33.44,8.9,-6.2
16-July-2012,350.9,354.45,348,350.05,351.3260037,134523,2809,47261428,25580,19.02,6.45,-0.85
17-July-2012,351.8,362,349,350,351.3699522,142167,2553,49953212,25502,17.94,13,-1.8
18-July-2012,350.1,352.95,343.05,351.45,348.2398435,205780,3550,71660795,52541,25.53,9.9,1.35
19-July-2012,353,356.5,352.2,354.6,354.314775,140081,2886,49632768,35103,25.06,4.3,1.6
20-July-2012,353,355.5,349.15,353.35,352.6441058,88206,1941,31105326,13669,15.5,6.35,0.35
23-July-2012,349.95,351.25,340.1,340.85,343.5935182,176618,3552,60684800,53055,30.04,11.15,-9.1
24-July-2012,340.65,343.95,337.85,341.35,341.4585736,180887,3037,61765417,52771,29.17,6.1,0.7
25-July-2012,342.25,349.8,339.3,346.05,344.4193364,781313,12817,269099305,95428,12.21,10.5,3.8
26-July-2012,348,354.9,342.8,346.75,350.6168315,422814,6542,148245705,148143,35.04,12.1,-1.25
27-July-2012,350,358.85,350,353.2,354.5442143,295911,5555,104913533,59084,19.97,8.85,3.2
30-July-2012,353.1,361.2,353.1,359.6,358.7623939,245322,3883,88012308,74508,30.37,8.1,6.5
31-July-2012,360.25,365.95,357.4,364.25,362.4038434,384815,7609,139458435,72896,18.94,8.55,4
1-August-2012,365,367.3,362.1,365.1,364.9317274,123915,2462,45220515,24894,20.09,5.2,0.1
2-August-2012,365.55,365.55,361,362.9,363.0537674,202167,1187,73397491,154869,76.6,4.55,-2.65
3-August-2012,361.5,369.75,355.75,368.05,362.5042697,280467,8451,101670485,97477,34.76,14,6.55
6-August-2012,372,373.9,364.6,365.6,369.2801566,149163,3149,55082936,43321,29.04,9.3,-6.4
7-August-2012,364.95,372.5,364.95,370.5,369.4565566,192250,3490,71028023,74892,38.96,7.55,5.55
8-August-2012,371,372,366,367.4,368.6687787,109214,1968,40263792,23655,21.66,6,-3.6
9-August-2012,367.2,369.45,361.5,363,366.0431186,106752,2138,39075835,27075,25.36,7.95,-4.2
10-August-2012,363,364.5,355.85,357.4,359.8572707,137435,3003,49456984,29329,21.34,8.65,-5.6
13-August-2012,355.5,363.3,352.6,362.3,358.9594694,174510,3036,62642017,26553,15.22,10.7,6.8
14-August-2012,363,367.7,360.55,365.7,365.0380173,175394,3533,64025478,40963,23.35,7.15,2.7
16-August-2012,367.2,368.4,358.6,359.9,363.8987901,173323,3802,63072030,61732,35.62,9.8,-7.3
17-August-2012,361.05,365,357,359.55,360.8953392,126523,2157,45661561,29465,23.29,8,-1.5
21-August-2012,359.35,361.9,356.2,358.35,358.8345966,127579,2087,45779759,24523,19.22,5.7,-1
22-August-2012,357,361.45,355,357.3,357.3142208,277846,2733,99278327,164477,59.2,6.45,0.3
23-August-2012,358,359.45,351.25,354.4,354.9702813,177397,2782,62970663,80702,45.49,8.2,-3.6
24-August-2012,354.3,354.3,343,344.9,346.4655028,248991,6067,86266792,98687,39.63,11.3,-9.4
27-August-2012,346.05,346.8,335.65,336.9,340.3139335,208662,3855,71010586,86138,41.28,11.15,-9.15
28-August-2012,336,338.4,331.1,335.55,334.7412367,164150,3401,54947774,38087,23.2,7.3,-0.45
29-August-2012,336.8,337,330.1,330.7,333.1173613,114254,2458,38059991,33739,29.53,6.9,-6.1
30-August-2012,330.8,334.55,328.2,330.1,331.1838634,181488,3035,60105897,83823,46.19,6.35,-0.7
31-August-2012,331,334,326.35,329.85,329.8664877,297246,4731,98051494,75727,25.48,7.65,-1.15
3-September-2012,331,333.5,325.45,328.05,329.2079572,241064,5199,79360187,105671,43.84,8.05,-2.95
4-September-2012,328.8,334.4,325.9,333,331.4391833,559657,6776,185492259,133023,23.77,8.5,4.2
5-September-2012,332.75,332.75,323.1,324.4,328.6054512,416866,5223,136984440,262256,62.91,9.65,-8.35
6-September-2012,326,329.1,322.3,327.05,326.4376901,286993,4703,93685332,91471,31.87,6.8,1.05
7-September-2012,331,337.5,331,335.15,335.5475646,356736,4728,119701896,171644,48.12,6.5,4.15
8-September-2012,336.25,338,335.05,337.15,336.6860254,17081,323,5750934,6679,39.1,2.95,0.9
10-September-2012,338.1,338.85,332,333.1,334.7639213,119816,2078,40110074,31595,26.37,6.85,-5
11-September-2012,331.1,334.35,328.8,329.95,331.4486299,209431,3235,69415618,88255,42.14,5.55,-1.15
12-September-2012,331.9,337.65,328.75,336.65,334.22013,324163,5421,108341800,116813,36.04,8.9,4.75
13-September-2012,338,342.7,336,338.65,339.7184878,185317,3642,62955611,35583,19.2,6.7,0.65
14-September-2012,344,359.9,344,355.95,356.5349898,826726,13828,294756746,367593,44.46,15.9,11.95
17-September-2012,363.4,380.4,358.6,377.3,373.5746396,617594,10334,230717456,262033,42.43,21.8,13.9
18-September-2012,374.95,376.8,366.45,370.4,371.2540416,210623,3394,78194640,77270,36.69,10.35,-4.55
20-September-2012,368.9,370.5,362.35,363.65,365.7950226,250491,4876,91628361,74752,29.84,8.15,-5.25
21-September-2012,366.3,375.85,366.2,371.25,372.0859317,346240,8363,128831033,137807,39.8,9.65,4.95
24-September-2012,370.5,381,369.8,377.05,377.6375882,268068,5156,101232553,77737,29,11.2,6.55
25-September-2012,379,384,372.7,375.15,376.8677634,500497,7459,188621185,279989,55.94,11.3,-3.85
26-September-2012,377.3,377.3,372,374.2,373.8531733,249866,2688,93413197,134866,53.98,5.3,-3.1
27-September-2012,375.95,384.6,374.5,380.95,380.9562612,273533,4624,104204109,87835,32.11,10.1,5
28-September-2012,385.5,388.45,379,382.2,384.5569897,247615,4491,95222079,70141,28.33,9.45,-3.3
1-October-2012,382,395,382,393.9,390.8652864,277767,5276,108569478,66560,23.96,13,11.9
3-October-2012,394,402,393,400.4,398.9058048,359063,8650,143232315,122426,34.1,9,6.4
4-October-2012,404.5,406.8,395.1,398.2,401.8783511,268272,5512,107812709,131838,49.14,11.7,-6.3
5-October-2012,401,401.55,387.5,393.75,392.7902306,237394,4123,93246044,79615,33.54,14.05,-7.25
8-October-2012,394,394,384.6,386.15,389.1487485,215377,4117,83813690,90920,42.21,9.4,-7.85
9-October-2012,388.25,396,388.25,394.2,393.6507119,211536,4103,83271297,75274,35.58,7.75,5.95
10-October-2012,394.5,395.95,384.1,393.3,391.7960582,138770,2531,54369539,34765,25.05,11.85,-1.2
11-October-2012,394.6,398.3,392.7,397.2,396.0874617,2054408,5825,813725250,1867723,90.91,5.6,2.6
12-October-2012,398,399.9,392.85,394.1,396.4558449,128309,2659,50868853,31236,24.34,7.05,-3.9
15-October-2012,395.65,396.75,390,394.7,393.508473,116606,2218,45885449,23623,20.26,6.75,-0.95
16-October-2012,395,395,378,381.45,380.925766,17972751,33032,6846283941,11382971,63.33,17,-13.55
17-October-2012,385,387.4,382.4,385.2,385.0441283,225388,3263,86784326,85614,37.99,5,0.2
18-October-2012,389.7,391.45,385.25,389,389.1469915,197025,3992,76671686,69913,35.48,6.2,-0.7
19-October-2012,389.05,389.1,379,382.9,383.1561475,197512,3547,75677937,58738,29.74,10.1,-6.15
22-October-2012,384,387.8,379.2,387.05,384.8924231,136191,3173,52418884,31525,23.15,8.6,3.05
23-October-2012,388,400.7,385.55,399.35,394.7479268,1170303,19541,461974683,382053,32.65,15.15,11.35
25-October-2012,402,418.5,400.25,416.5,409.822443,926812,15769,379828358,273009,29.46,18.25,14.5
26-October-2012,415,417.9,411,413.1,414.1084604,338188,6478,140046512,111277,32.9,6.9,-1.9
29-October-2012,413.1,421,413.1,414.6,417.7569974,468530,6085,195731686,227450,48.55,7.9,1.5
30-October-2012,416.5,419.9,406,407.6,411.0534285,485153,8478,199423804,133560,27.53,13.9,-8.9
31-October-2012,407.05,412.5,405,411.45,409.2720956,217317,3784,88941784,69256,31.87,7.5,4.4
1-November-2012,412.7,417.4,411.1,412.45,413.9817953,138810,2616,57464813,32252,23.23,6.3,-0.25
2-November-2012,415.5,421.7,414.5,419.75,419.1057248,219362,4062,91935870,60374,27.52,7.2,4.25
5-November-2012,419.75,423.75,416.35,418.25,419.7585053,164397,2996,69007039,31515,19.17,7.4,-1.5
6-November-2012,418.45,421.5,416,420.9,419.6622014,130489,2206,54761301,23018,17.64,5.5,2.45
7-November-2012,418.75,424.35,417.7,420.15,421.7724319,200986,4509,84770354,80909,40.26,6.65,1.4
8-November-2012,417,420.75,414.15,419.5,418.820446,128084,2168,53644198,19826,15.48,6.6,2.5
9-November-2012,420,427.5,420,424.55,424.899032,245345,5363,104246853,51503,20.99,7.5,4.55
12-November-2012,426.2,429.9,424,424.75,426.6971761,160945,2923,68674777,43509,27.03,5.9,-1.45
13-November-2012,425,426.85,420.05,422.45,424.2218992,58130,1054,24660019,30616,52.67,6.8,-2.55
15-November-2012,420,420.6,416.15,417.6,418.0954503,137789,2141,57608954,69450,50.4,4.45,-2.4
16-November-2012,417.25,422.9,414.5,415.55,418.8213816,88188,1917,36935020,21519,24.4,8.4,-1.7
19-November-2012,417,418,411.75,414.4,415.0265885,110010,2134,45657075,21597,19.63,6.25,-2.6
20-November-2012,416.5,421,414.6,419.5,417.9597756,104265,2049,43578576,25545,24.5,6.4,3
21-November-2012,425,425,419.65,421.95,422.3966053,136506,2586,57659671,45987,33.69,5.35,-3.05
22-November-2012,423.05,424,419,421.1,421.4393512,62087,1406,26165905,16031,25.82,5,-1.95
23-November-2012,422,422.25,416,419.45,418.8133234,60195,1495,25210468,17043,28.31,6.25,-2.55
26-November-2012,421.35,423.35,418.55,419.45,420.2556336,67319,1247,28291189,23183,34.44,4.8,-1.9
27-November-2012,421.45,435.95,421.25,434.65,430.6834491,266131,5693,114618217,98052,36.84,14.7,13.2
29-November-2012,436,447,432.6,443.05,440.9378247,220940,4510,97420803,52281,23.66,14.4,7.05
30-November-2012,442,448,441,442.4,444.1945398,279552,4610,124175472,126213,45.15,7,0.4
3-December-2012,446,449.5,440.05,447.55,446.7528858,157927,2882,70554343,68464,43.35,9.45,1.55
4-December-2012,449.9,453,444.5,450.6,449.4877468,200723,2807,90222529,79838,39.78,8.5,0.7
5-December-2012,452.25,454.2,447.75,450.05,450.2749946,102682,2348,46235137,26345,25.66,6.45,-2.2
6-December-2012,452.15,470.3,448.05,466.95,459.26484,229784,4485,105531712,51833,22.56,22.25,14.8
7-December-2012,469,469.9,453.2,455.3,459.6621116,308963,6951,142018585,134031,43.38,16.7,-13.7
10-December-2012,455.1,464.9,455,457.8,457.9601901,93645,2470,42885682,22992,24.55,9.9,2.7
11-December-2012,459.8,466,452.3,456.45,458.7561347,148459,3477,68106477,33427,22.52,13.7,-3.35
12-December-2012,460,460,451,454.2,454.760341,158133,2893,71912617,28890,18.27,9,-5.8
13-December-2012,454.05,456,446.1,447.95,451.3754019,197820,4720,89291082,83696,42.31,9.9,-6.1
14-December-2012,448.05,462.95,447.4,461.15,459.675972,483020,3666,222032688,38919,8.06,15.55,13.1
17-December-2012,462,467,459.3,465.95,464.6858566,139726,2933,64928696,42393,30.34,7.7,3.95
18-December-2012,467,471.55,455,468,464.8400407,155402,3590,72237072,21076,13.56,16.55,1
19-December-2012,471,474.8,467.65,469.75,471.2396666,111338,2442,52466882,40301,36.2,7.15,-1.25
20-December-2012,468,475,463.5,472.7,469.8171779,95623,2429,44925328,18184,19.02,11.5,4.7
21-December-2012,467.85,471.7,458.1,459.9,464.5368144,182972,2871,84997230,84898,46.4,13.6,-7.95
24-December-2012,461.9,463.5,457.2,461.95,460.9811557,79228,1922,36522615,15382,19.41,6.3,0.05
26-December-2012,463,466.95,457.75,463.7,464.2165076,96380,1780,44741187,32163,33.37,9.2,0.7
27-December-2012,465.4,468.65,460.5,466.3,464.4339721,91681,1914,42579771,26170,28.54,8.15,0.9
28-December-2012,466.1,466.65,459,463,463.4288374,88073,1863,40815568,25700,29.18,7.65,-3.1
31-December-2012,463,470,462.5,464.2,465.8814789,112655,1936,52483878,47538,42.2,7.5,1.2
1-January-2013,466,478.5,466,477.2,474.959245,137333,3241,65227578,39003,28.4,12.5,11.2
2-January-2013,477.55,489.5,477.55,488.3,486.064938,216930,3760,105442067,86214,39.74,11.95,10.75
3-January-2013,488.5,496,487.7,491.4,492.2459455,202305,4122,99583816,41630,20.58,8.3,2.9
4-January-2013,491,493.9,488,489.6,490.3097207,140391,3072,68835072,44248,31.52,5.9,-1.4
7-January-2013,491,501.65,489.5,497.1,496.845427,186682,4652,92752098,54168,29.02,12.15,6.1
8-January-2013,497.8,502,493.85,499.55,498.2290914,152485,3752,75972463,24032,15.76,8.15,1.75
9-January-2013,500,509.9,500,504.6,505.5563863,199144,4102,100678521,45427,22.81,9.9,4.6
10-January-2013,507,516.5,502.75,514.8,511.6850164,326436,5792,167032410,100948,30.92,13.75,7.8
11-January-2013,515,516.45,496.3,498.9,504.4565655,238612,4882,120369390,70164,29.41,20.15,-16.1
14-January-2013,501.4,509.4,495.3,507.6,505.7657806,166280,4082,84098734,37698,22.67,14.1,6.2
15-January-2013,511,532.65,510,528.15,521.8305578,1052170,12694,549054458,485198,46.11,22.65,17.15
16-January-2013,535,535,516.85,518.25,524.8980844,818334,16746,429541949,157873,19.29,18.15,-16.75
17-January-2013,522,528.7,517,524.15,523.8451516,354437,9680,185670104,117528,33.16,11.7,2.15
18-January-2013,524.2,526.9,516,518.3,521.0036567,253231,4624,131934277,80505,31.79,10.9,-5.9
21-January-2013,522,523,511,512.2,514.3084763,151895,3281,78120886,34291,22.58,12,-9.8
22-January-2013,512.5,518.9,506.7,509.05,512.5167005,180743,4194,92633806,42655,23.6,12.2,-3.45
23-January-2013,512,517,502.2,514.45,508.5586033,217539,5252,110631330,30773,14.15,14.8,2.45
24-January-2013,515,515.55,506,507.95,509.7224571,239354,6317,122004109,79877,33.37,9.55,-7.05
25-January-2013,507,509,495,504.05,504.4263357,325178,5750,164028347,118621,36.48,14,-2.95
28-January-2013,507.95,524.4,506.55,522.3,517.8970837,262903,5581,136156697,51390,19.55,17.85,14.35
29-January-2013,525,526.25,510.75,512.25,518.0627585,611535,11861,316813509,196707,32.17,15.5,-12.75
30-January-2013,514,522.65,512.05,519.7,519.0391069,162887,3883,84544723,32317,19.84,10.6,5.7
31-January-2013,519.7,523.6,517.05,522.05,520.3196321,156896,2943,81636069,55838,35.59,6.55,2.35
1-February-2013,522.05,536.55,520.05,531.6,531.520546,378395,9406,201124717,113538,30.01,16.5,9.55
4-February-2013,534.05,539,524.5,526.45,531.9181776,203355,4682,108168221,45531,22.39,14.5,-7.6
5-February-2013,522,525,512.1,514.1,516.1832399,194128,4470,100205620,47085,24.25,12.9,-7.9
6-February-2013,516,518.05,503.9,510.9,510.7523663,324556,6435,165767745,52920,16.31,14.15,-5.1
7-February-2013,512.95,516.25,504,508.15,509.443034,192922,3674,98282769,34046,17.65,12.25,-4.8
8-February-2013,508.5,513.8,505.5,509.5,509.8709218,191171,3288,97472534,36759,19.23,8.3,1
11-February-2013,510,518,508.55,515.75,513.7427887,197157,3555,101287987,49082,24.89,9.45,5.75
12-February-2013,518,522.2,514.5,521.4,519.4391714,148113,3777,76935694,26593,17.95,7.7,3.4
13-February-2013,524,524.5,510.7,513.25,518.0834629,285612,4425,147970854,80549,28.2,13.8,-10.75
14-February-2013,513.5,513.55,497.65,501.65,504.8054912,240822,4891,121568268,64891,26.95,15.9,-11.85
15-February-2013,500.2,503.7,491.85,502.25,497.4517952,208309,4934,103623686,42125,20.22,11.85,2.05
18-February-2013,504,508.4,498.75,501.8,504.1976305,169488,2712,85455448,60698,35.81,9.65,-2.2
19-February-2013,504,506.9,495.65,505.25,501.0932015,198999,4670,99717046,44015,22.12,11.25,1.25
20-February-2013,508.2,510.8,504,508.95,507.9235928,134490,2838,68310644,27951,20.78,6.8,0.75
21-February-2013,505,506.4,483.75,486.9,494.0426776,306812,6507,151578222,113503,36.99,22.65,-18.1
22-February-2013,486,493.6,475.8,489.9,486.4946916,339464,6656,165147434,38809,11.43,17.8,3.9
25-February-2013,492.85,492.95,478.1,480.6,483.0738603,273110,5214,131932302,60133,22.02,14.85,-12.25
26-February-2013,479,479,468,472,473.8189219,328582,4824,155688369,116441,35.44,11,-7
27-February-2013,475.85,493.9,475.05,490.7,485.905232,326587,7583,158690332,109549,33.54,18.85,14.85
28-February-2013,495.95,497.3,467,472.5,481.9289322,420528,7802,202664610,115524,27.47,30.3,-23.45
1-March-2013,470,484,452.5,473.1,478.2067879,274842,5988,131431310,65644,23.88,31.5,3.1
4-March-2013,473.15,479.7,468.45,474.5,474.987386,171476,3689,81448937,31668,18.47,11.25,1.35
5-March-2013,472.65,482.45,468.9,480,475.9703927,276418,5328,131566784,35864,12.97,13.55,7.35
6-March-2013,484.8,487.45,480,481.8,483.4073515,212826,3965,102881653,29594,13.91,7.45,-3
7-March-2013,480.8,486.5,478.75,485,482.7558917,133621,2272,64506325,28486,21.32,7.75,4.2
8-March-2013,487.35,490.45,481,486.15,486.419524,156177,2881,75967542,22931,14.68,9.45,-1.2
11-March-2013,487.3,497.75,486.55,493.6,493.4756324,188755,3580,93145993,35191,18.64,11.2,6.3
12-March-2013,497,500.75,488.8,492.65,494.46378,161568,3405,79889524,23147,14.33,11.95,-4.35
13-March-2013,494,494,480.25,482.3,485.1909635,145321,2439,70508436,21709,14.94,13.75,-11.7
14-March-2013,481.95,487.9,471.5,484.95,480.8796406,233376,4885,112225767,24023,10.29,16.4,3
15-March-2013,487.15,491.2,472.5,474.45,480.8822963,235821,4260,113402144,49358,20.93,18.7,-12.7
18-March-2013,470,473.3,459.2,460.2,464.1458771,278008,6403,129036267,89418,32.16,14.1,-9.8
19-March-2013,462,464.85,435.6,439.05,451.5683154,489765,8912,221162356,98811,20.18,29.25,-22.95
20-March-2013,439,443.55,428.6,431.5,435.4883123,367693,6757,160126004,81442,22.15,14.95,-7.5
21-March-2013,433.65,445.8,427.1,432,437.5018907,408312,6558,178637272,57797,14.16,18.7,-1.65
22-March-2013,434.95,443.95,431.25,439.75,437.4471356,254869,5300,111491714,45738,17.95,12.7,4.8
25-March-2013,444,448.2,432,435.05,441.4189946,200678,3516,88583081,38415,19.14,16.2,-8.95
26-March-2013,432.4,436.25,422.95,425.5,428.6517922,213117,4424,91352984,38080,17.87,13.3,-6.9
28-March-2013,425.55,431.2,417.1,428.55,423.3301237,291727,4151,123496827,60290,20.67,14.1,3
1-April-2013,428.5,433.5,422.25,431.55,428.8631807,197918,3423,84879743,30685,15.5,11.25,3.05
2-April-2013,434,451,431.9,449.65,443.9372303,244975,5217,108753523,57650,23.53,19.1,15.65
3-April-2013,450.6,459.45,433.25,435.45,446.2959923,392598,6067,175214914,114904,29.27,26.2,-15.15
4-April-2013,433,436.5,425.3,427.5,430.4009419,261816,4933,112685853,35776,13.66,11.2,-5.5
5-April-2013,425.2,434.35,423,425.45,427.3825635,268277,4249,114656912,48843,18.21,11.35,0.25
8-April-2013,426,430.25,423.8,425.15,426.912661,153700,2670,65616476,27688,18.01,6.45,-0.85
9-April-2013,426.65,436.6,423.5,424.5,430.401876,227936,3973,98104082,32362,14.2,13.1,-2.15
10-April-2013,427.85,430.5,417.15,428.45,423.4228427,307774,5137,130318542,43884,14.26,13.35,0.6
11-April-2013,432.55,437.95,428,436.25,433.1976826,223530,4098,96832678,28418,12.71,9.95,3.7
12-April-2013,435,445,433.2,443.2,440.456716,214236,4437,94361685,32659,15.24,11.8,8.2
15-April-2013,444.1,463.3,443.5,458,456.1989411,365113,5349,166564164,60573,16.59,19.8,13.9
16-April-2013,460.65,471.2,460.15,469.25,465.0237933,238513,4708,110914220,47310,19.84,11.05,8.6
17-April-2013,474.5,488.35,467.55,479.5,478.1921356,933122,16700,446211602,123357,13.22,20.8,5
18-April-2013,482.7,493,475,491.05,485.1043464,445334,6906,216033459,61039,13.71,18,8.35
22-April-2013,492,498.75,488,494.55,493.4481197,273543,4686,134979279,58431,21.36,10.75,2.55
23-April-2013,494.1,497.4,484.5,494.75,490.4587819,256732,4255,125916464,43160,16.81,12.9,0.65
25-April-2013,497,508.35,493.8,503.8,503.2533701,342499,5490,172363776,97812,28.56,14.55,6.8
26-April-2013,499,503,494.65,497.75,498.3144765,142831,2630,71174755,20196,14.14,8.35,-1.25
29-April-2013,497.75,507.55,492.05,504.25,500.4380252,213716,4637,106951613,22676,10.61,15.5,6.5
30-April-2013,505,509,494.3,501.4,501.4669432,199641,3561,100113362,28742,14.4,14.7,-3.6
2-May-2013,504.95,510.5,500.9,504.2,506.5518002,146457,3001,74188057,33415,22.82,9.6,-0.75
3-May-2013,504.8,508.4,495.7,497.95,502.1916595,468315,7657,235183887,96500,20.61,12.7,-6.85
6-May-2013,495,499,486.9,496.75,493.5637467,201532,3686,99468889,15368,7.63,12.1,1.75
7-May-2013,497,510.5,496,507.95,505.0955135,241170,4023,121813885,42718,17.71,14.5,10.95
8-May-2013,508,512.2,504.05,506.8,507.2988389,147270,2426,74709900,29022,19.71,8.15,-1.2
9-May-2013,500,511.9,500,502.45,505.993917,165380,3098,83681274,31489,19.04,11.9,2.45
10-May-2013,501.5,510.8,499,509.1,506.8093415,231419,3912,117285311,59047,25.52,11.8,7.6
11-May-2013,508.75,514.2,508.75,512.25,512.2695115,31097,679,15930045,10616,34.14,5.45,3.5
13-May-2013,504.5,513.8,501.15,502.95,506.8219259,133933,2373,67880181,23036,17.2,12.65,-1.55
14-May-2013,502.9,510.8,498.1,507.6,505.933405,192492,3377,97388133,29591,15.37,12.7,4.7
15-May-2013,506.5,530,506.5,527.2,521.5191424,351158,5795,183135619,78052,22.23,23.5,20.7
16-May-2013,533.4,546.8,531,542.6,540.1257132,415191,7692,224255335,77715,18.72,15.8,9.2
17-May-2013,542.15,547.1,537.3,542.3,541.0425387,211995,4220,114698313,39917,18.83,9.8,0.15
20-May-2013,541.9,547.15,528.35,530,536.3041917,201613,3303,108125897,37891,18.79,18.8,-11.9
21-May-2013,530,530.65,513.95,515.35,520.4935938,292530,4614,152259991,100831,34.47,16.7,-14.65
22-May-2013,519,522.1,505.65,510.5,514.3369001,148127,2926,76187182,19467,13.14,16.45,-8.5
23-May-2013,504.8,504.8,494.3,497.1,498.432274,191448,3514,95423862,32563,17.01,10.5,-7.7
24-May-2013,501.35,509,496,505.55,504.0845692,189478,3443,95512936,19264,10.17,13,4.2
27-May-2013,505,520,504.1,518.25,514.4572414,186208,3004,95796054,33345,17.91,15.9,13.25
28-May-2013,523,523,513,514.9,516.9844645,182807,3207,94508379,33302,18.22,10,-8.1
29-May-2013,515,519,500.3,502.85,505.2166937,187112,3450,94532106,43110,23.04,18.7,-12.15
30-May-2013,500,507,498,499.95,501.0028622,158618,2996,79468072,32313,20.37,9,-0.05
