Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-March-2012,335.5,370.2,335.5,360.85,362.3766784,210697,3843,76351679,60393,28.66,34.7,25.35
20-March-2012,361,368.9,357.05,366.05,363.4434198,299186,4841,108737183,23732,7.93,11.85,5.05
21-March-2012,365,375.75,363.9,374.3,370.9016208,302076,5637,112040478,75996,25.16,11.85,9.3
22-March-2012,372.4,382.5,361.4,364.8,374.3204386,349549,5848,130843335,53219,15.23,21.1,-7.6
23-March-2012,368.25,375.5,366.05,371.7,371.3478092,218387,4008,81097534,23382,10.71,9.45,3.45
26-March-2012,370,370,355.25,357.55,359.4951563,249188,4852,89581879,72426,29.06,14.75,-12.45
27-March-2012,361,363.55,335.55,354.15,350.5334983,836760,15710,293312410,136907,16.36,28,-6.85
28-March-2012,351.6,354.65,346.4,350.3,350.5581851,316696,6353,111020375,128485,40.57,8.25,-1.3
29-March-2012,348.1,365.95,341.25,361.35,351.4389374,313416,7583,110146586,64713,20.65,24.7,13.25
30-March-2012,362,368.95,357.75,367.3,365.1026261,557061,4757,203384434,42576,7.64,11.2,5.3
2-April-2012,368.1,376.9,365,372.2,373.4519677,1880181,4585,702157294,1712107,91.06,11.9,4.1
3-April-2012,374,380.5,372.1,373.55,376.4919016,192506,4569,72476950,29864,15.51,8.4,-0.45
4-April-2012,370.4,377.7,369,373.55,373.3342569,235322,4489,87853764,69281,29.44,8.7,3.15
9-April-2012,376,376.3,367,372.35,371.8387843,168197,3684,62542168,15199,9.04,9.3,-3.65
10-April-2012,373,380.5,367.05,377.7,375.6978901,222803,5284,83706617,30401,13.64,13.45,4.7
11-April-2012,374.5,379.5,371.9,376.1,375.4472922,252401,4746,94763272,57558,22.8,7.6,1.6
12-April-2012,378.9,379.85,370.1,372.15,375.5639919,334425,5806,125597988,84788,25.35,9.75,-6.75
13-April-2012,374.5,379.75,362.8,365.5,372.9710187,318481,5965,118784183,89742,28.18,16.95,-9
16-April-2012,365.5,371.9,363,369.4,369.0432237,295301,5857,108978833,73356,24.84,8.9,3.9
17-April-2012,371,377.8,363.1,371.1,370.9559994,651514,11953,241683027,119586,18.36,14.7,0.1
18-April-2012,374,376,368.6,369.8,372.717389,113980,2294,42482328,25342,22.23,7.4,-4.2
19-April-2012,370.5,372,366.35,367.75,369.1939127,118574,2499,43776799,32100,27.07,5.65,-2.75
20-April-2012,367.75,369.9,362,364.7,365.8547225,135933,2588,49731730,31271,23,7.9,-3.05
23-April-2012,366,373.95,356.2,358.75,365.032823,237425,4376,86667918,52781,22.23,17.75,-7.25
24-April-2012,360.1,364.5,357,359.7,360.8396097,174730,3568,63049505,44861,25.67,7.5,-0.4
25-April-2012,362,371.5,358.55,366.4,366.1451058,717704,12987,262783807,156121,21.75,12.95,4.4
26-April-2012,360.3,364.9,354,357.1,357.1543126,15603544,21322,5572873032,12717715,81.51,10.9,-3.2
27-April-2012,358.5,360.9,345.55,347.85,351.8841694,310065,5898,109106965,67917,21.9,15.35,-10.65
